type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_ask,side,time,trade_id,last_size
ticker,1294587695,WLUNA-USD,1.22,24.85,54477457.727,0.95,25.16,70325830.287,1.21,1.22,buy,2022-05-11T19:18:39.497114Z,7995868,22.745
ticker,1294587700,WLUNA-USD,1.22,24.85,54477537.575,0.95,25.16,70325910.135,1.21,1.22,buy,2022-05-11T19:18:39.502700Z,7995869,79.848
ticker,1294587703,WLUNA-USD,1.21,24.85,54477544.757,0.95,25.16,70325917.317,1.21,1.22,sell,2022-05-11T19:18:39.503190Z,7995870,7.182
ticker,1294587709,WLUNA-USD,1.21,24.85,54477551.939,0.95,25.16,70325924.499,1.21,1.22,sell,2022-05-11T19:18:39.520705Z,7995871,7.182
ticker,1294587716,WLUNA-USD,1.21,24.85,54477559.121,0.95,25.16,70325931.681,1.21,1.22,sell,2022-05-11T19:18:39.536896Z,7995872,7.182
ticker,1294587755,WLUNA-USD,1.22,24.85,54477560.5,0.95,25.16,70325933.06,1.21,1.22,buy,2022-05-11T19:18:40.031690Z,7995873,1.379
ticker,1294587782,WLUNA-USD,1.21,24.85,54477567.682,0.95,25.16,70325940.242,1.21,1.22,sell,2022-05-11T19:18:40.514930Z,7995874,7.182
ticker,1294587785,WLUNA-USD,1.21,24.85,54477574.864,0.95,25.16,70325947.424,1.21,1.22,sell,2022-05-11T19:18:40.530753Z,7995875,7.182
ticker,1294587831,WLUNA-USD,1.22,24.85,54477645.164,0.95,25.16,70326017.724,1.21,1.22,buy,2022-05-11T19:18:40.782571Z,7995876,70.3
ticker,1294587833,WLUNA-USD,1.22,24.85,54477665.909,0.95,25.16,70326038.469,1.21,1.23,buy,2022-05-11T19:18:40.782571Z,7995877,20.745
ticker,1294587835,WLUNA-USD,1.23,24.85,54477816.594,0.95,25.16,70326189.154,1.21,1.23,buy,2022-05-11T19:18:40.782571Z,7995878,150.685
ticker,1294587837,WLUNA-USD,1.23,24.85,54478047.622,0.95,25.16,70326420.182,1.21,1.24,buy,2022-05-11T19:18:40.782571Z,7995879,231.028
ticker,1294587839,WLUNA-USD,1.24,24.85,54478049.632,0.95,25.16,70326422.192,1.21,1.24,buy,2022-05-11T19:18:40.782571Z,7995880,2.01
ticker,1294587841,WLUNA-USD,1.24,24.85,54478612.246,0.95,25.16,70326984.806,1.21,1.24,buy,2022-05-11T19:18:40.782571Z,7995881,562.614
ticker,1294587843,WLUNA-USD,1.24,24.85,54478864.893,0.95,25.16,70327237.453,1.21,1.24,buy,2022-05-11T19:18:40.782571Z,7995882,252.647
ticker,1294587845,WLUNA-USD,1.24,24.85,54478865.08,0.95,25.16,70327237.64,1.21,1.25,buy,2022-05-11T19:18:40.782571Z,7995883,0.187
ticker,1294587847,WLUNA-USD,1.25,24.85,54479552.811,0.95,25.16,70327925.371,1.21,1.25,buy,2022-05-11T19:18:40.782571Z,7995884,687.731
ticker,1294587887,WLUNA-USD,1.24,24.85,54479555.044,0.95,25.16,70327927.604,1.23,1.25,buy,2022-05-11T19:18:40.833083Z,7995885,2.233
ticker,1294587902,WLUNA-USD,1.23,24.85,54479562.226,0.95,25.16,70327934.786,1.23,1.24,sell,2022-05-11T19:18:40.858621Z,7995886,7.182
ticker,1294587904,WLUNA-USD,1.23,24.85,54479566.922,0.95,25.16,70327939.482,1.22,1.24,sell,2022-05-11T19:18:40.858621Z,7995887,4.696
ticker,1294587909,WLUNA-USD,1.24,24.85,54479569.099,0.95,25.16,70327941.659,1.22,1.25,buy,2022-05-11T19:18:40.866370Z,7995888,2.177
ticker,1294587935,WLUNA-USD,1.23,24.85,54479576.281,0.95,25.16,70327948.841,1.22,1.25,sell,2022-05-11T19:18:40.910902Z,7995889,7.182
ticker,1294587937,WLUNA-USD,1.22,24.85,54479580.955,0.95,25.16,70327953.515,1.22,1.25,sell,2022-05-11T19:18:40.910902Z,7995890,4.674
ticker,1294587959,WLUNA-USD,1.23,24.85,54479588.112,0.95,25.16,70327960.672,1.23,1.24,sell,2022-05-11T19:18:40.982700Z,7995891,7.157
ticker,1294587988,WLUNA-USD,1.23,24.85,54479599.676,0.95,25.16,70327972.236,1.23,1.24,sell,2022-05-11T19:18:41.050473Z,7995892,11.564
ticker,1294587992,WLUNA-USD,1.23,24.85,54479601.7,0.95,25.16,70327974.26,1.23,1.24,sell,2022-05-11T19:18:41.059723Z,7995893,2.024
ticker,1294587994,WLUNA-USD,1.23,24.85,54479604.348,0.95,25.16,70327976.908,1.22,1.24,sell,2022-05-11T19:18:41.059723Z,7995894,2.648
ticker,1294587996,WLUNA-USD,1.22,24.85,54479788.753,0.95,25.16,70328161.313,1.22,1.24,sell,2022-05-11T19:18:41.059723Z,7995895,184.405
ticker,1294588058,WLUNA-USD,1.24,24.85,54479790.993,0.95,25.16,70328163.553,1.22,1.24,buy,2022-05-11T19:18:41.612160Z,7995896,2.24
ticker,1294588060,WLUNA-USD,1.24,24.85,54479794.272,0.95,25.16,70328166.832,1.22,1.24,buy,2022-05-11T19:18:41.612160Z,7995897,3.279
ticker,1294588078,WLUNA-USD,1.24,24.85,54479807.661,0.95,25.16,70328180.221,1.22,1.24,buy,2022-05-11T19:18:41.727152Z,7995898,13.389
ticker,1294588107,WLUNA-USD,1.23,24.85,54480918.661,0.95,25.16,70329291.221,1.23,1.24,sell,2022-05-11T19:18:42.180003Z,7995899,1111.0
ticker,1294588109,WLUNA-USD,1.23,24.85,54480935.329,0.95,25.16,70329307.889,1.22,1.24,sell,2022-05-11T19:18:42.180003Z,7995900,16.668
ticker,1294588116,WLUNA-USD,1.24,24.85,54480939.406,0.95,25.16,70329311.966,1.23,1.24,buy,2022-05-11T19:18:42.197795Z,7995901,4.077
ticker,1294588118,WLUNA-USD,1.24,24.85,54480941.657,0.95,25.16,70329314.217,1.23,1.25,buy,2022-05-11T19:18:42.197795Z,7995902,2.251
ticker,1294588135,WLUNA-USD,1.22,24.85,54480955.657,0.95,25.16,70329328.217,1.22,1.24,sell,2022-05-11T19:18:42.238372Z,7995903,14.0
ticker,1294588137,WLUNA-USD,1.22,24.85,54482155.557,0.95,25.16,70330528.117,1.22,1.24,sell,2022-05-11T19:18:42.238372Z,7995904,1199.9
ticker,1294588139,WLUNA-USD,1.22,24.85,54482172.225,0.95,25.16,70330544.785,1.22,1.24,sell,2022-05-11T19:18:42.238372Z,7995905,16.668
ticker,1294588141,WLUNA-USD,1.22,24.85,54482179.407,0.95,25.16,70330551.967,1.21,1.24,sell,2022-05-11T19:18:42.238372Z,7995906,7.182
ticker,1294588143,WLUNA-USD,1.21,24.85,54482246.788,0.95,25.16,70330619.348,1.21,1.24,sell,2022-05-11T19:18:42.238372Z,7995907,67.381
ticker,1294588151,WLUNA-USD,1.24,24.85,54482248.982,0.95,25.16,70330621.542,1.22,1.24,buy,2022-05-11T19:18:42.253756Z,7995908,2.194
ticker,1294588153,WLUNA-USD,1.24,24.85,54482256.782,0.95,25.16,70330629.342,1.22,1.25,buy,2022-05-11T19:18:42.253756Z,7995909,7.8
ticker,1294588155,WLUNA-USD,1.25,24.85,54482788.564,0.95,25.16,70331161.124,1.22,1.25,buy,2022-05-11T19:18:42.253756Z,7995910,531.782
ticker,1294588157,WLUNA-USD,1.25,24.85,54482988.564,0.95,25.16,70331361.124,1.22,1.25,buy,2022-05-11T19:18:42.253756Z,7995911,200.0
ticker,1294588159,WLUNA-USD,1.25,24.85,54483002.564,0.95,25.16,70331375.124,1.22,1.26,buy,2022-05-11T19:18:42.253756Z,7995912,14.0
ticker,1294588175,WLUNA-USD,1.25,24.85,54483006.596,0.95,25.16,70331379.156,1.25,1.26,sell,2022-05-11T19:18:42.273402Z,7995913,4.032
ticker,1294588183,WLUNA-USD,1.25,24.85,54483070.71,0.95,25.16,70331443.27,1.25,1.26,sell,2022-05-11T19:18:42.300734Z,7995914,64.114
ticker,1294588185,WLUNA-USD,1.25,24.85,54483078.51,0.95,25.16,70331451.07,1.22,1.26,sell,2022-05-11T19:18:42.300734Z,7995915,7.8
ticker,1294588189,WLUNA-USD,1.22,24.85,54483085.692,0.95,25.16,70331458.252,1.22,1.26,sell,2022-05-11T19:18:42.308032Z,7995916,7.182
ticker,1294588191,WLUNA-USD,1.22,24.85,54483087.505,0.95,25.16,70331460.065,1.21,1.26,sell,2022-05-11T19:18:42.308032Z,7995917,1.813
ticker,1294588193,WLUNA-USD,1.21,24.85,54483146.552,0.95,25.16,70331519.112,1.21,1.26,sell,2022-05-11T19:18:42.308032Z,7995918,59.047
ticker,1294588204,WLUNA-USD,1.21,24.85,54483214.695,0.95,25.16,70331587.255,1.21,1.26,sell,2022-05-11T19:18:42.315997Z,7995919,68.143
ticker,1294588269,WLUNA-USD,1.23,24.85,54483458.774,0.95,25.16,70331831.334,1.22,1.25,sell,2022-05-11T19:18:42.355722Z,7995920,244.079
ticker,1294588271,WLUNA-USD,1.22,24.85,54483795.618,0.95,25.16,70332168.178,1.22,1.25,sell,2022-05-11T19:18:42.355722Z,7995921,336.844
ticker,1294588276,WLUNA-USD,1.22,24.85,54484029.548,0.95,25.16,70332402.108,1.22,1.25,sell,2022-05-11T19:18:42.356413Z,7995922,233.93
ticker,1294588278,WLUNA-USD,1.22,24.85,54484032.531,0.95,25.16,70332405.091,1.21,1.25,sell,2022-05-11T19:18:42.356413Z,7995923,2.983
ticker,1294588328,WLUNA-USD,1.22,24.85,54484039.688,0.95,25.16,70332412.248,1.22,1.24,sell,2022-05-11T19:18:42.420903Z,7995924,7.157
